country,Confirmed,Deaths,Recovered,Active,new_cases,new_deaths,new_recovered,confirmed_last_week,one_week_change,one_week_percent_increase,who_region,mortality_rate,recovery_rate,weekly_growth_rate,active_ratio
Fiji,27,0,18,9,0,0,0,27,0,0.0,Western Pacific,0.0,66.67,0.0,0.33
Finland,7398,329,6920,149,5,0,0,7340,58,0.79,Europe,4.45,93.54,0.79,0.02
France,220352,30212,81212,108928,2551,17,267,214023,6329,2.96,Europe,13.71,36.86,2.96,0.49
Gabon,7189,49,4682,2458,205,0,219,6433,756,11.75,Africa,0.68,65.13,11.75,0.34
Gambia,326,8,66,252,49,2,6,112,214,191.07,Africa,2.45,20.25,191.07,0.77
Georgia,1137,16,922,199,6,0,2,1039,98,9.43,Europe,1.41,81.09,9.43,0.18
Germany,207112,9125,190314,7673,445,1,259,203325,3787,1.86,Europe,4.41,91.89,1.86,0.04
Ghana,33624,168,29801,3655,655,0,307,28430,5194,18.27,Africa,0.5,88.63,18.27,0.11
Greece,4227,202,1374,2651,34,0,0,4012,215,5.36,Europe,4.78,32.51,5.36,0.63
Greenland,14,0,13,1,1,0,0,13,1,7.69,Europe,0.0,92.86,7.69,0.07
Grenada,23,0,23,0,0,0,0,23,0,0.0,Americas,0.0,100.0,0.0,0.0
Guatemala,45309,1761,32455,11093,256,27,843,39039,6270,16.06,Americas,3.89,71.63,16.06,0.24
Guinea,7055,45,6257,753,47,2,105,6590,465,7.06,Africa,0.64,88.69,7.06,0.11
Guinea-Bissau,1954,26,803,1125,0,0,0,1949,5,0.26,Africa,1.33,41.1,0.26,0.58
Guyana,389,20,181,188,19,0,0,337,52,15.43,Americas,5.14,46.53,15.43,0.48
Haiti,7340,158,4365,2817,25,1,0,7053,287,4.07,Americas,2.15,59.47,4.07,0.38
Holy See,12,0,12,0,0,0,0,12,0,0.0,Europe,0.0,100.0,0.0,0.0
Honduras,39741,1166,5039,33536,465,50,117,34611,5130,14.82,Americas,2.93,12.68,14.82,0.84
Hungary,4448,596,3329,523,13,0,0,4339,109,2.51,Europe,13.4,74.84,2.51,0.12
Iceland,1854,10,1823,21,7,0,0,1839,15,0.82,Europe,0.54,98.33,0.82,0.01
India,1480073,33408,951166,495499,44457,637,33598,1155338,324735,28.11,South-East Asia,2.26,64.26,28.11,0.33
Indonesia,100303,4838,58173,37292,1525,57,1518,88214,12089,13.7,South-East Asia,4.82,58.0,13.7,0.37
Iran,293606,15912,255144,22550,2434,212,1931,276202,17404,6.3,Eastern Mediterranean,5.42,86.9,6.3,0.08
Iraq,112585,4458,77144,30983,2553,96,1927,94693,17892,18.89,Eastern Mediterranean,3.96,68.52,18.89,0.28
Ireland,25892,1764,23364,764,11,0,0,25766,126,0.49,Europe,6.81,90.24,0.49,0.03
Israel,63985,474,27133,36378,2029,4,108,52003,11982,23.04,Europe,0.74,42.41,23.04,0.57
Italy,246286,35112,198593,12581,168,5,147,244624,1662,0.68,Europe,14.26,80.64,0.68,0.05
Jamaica,853,10,714,129,11,0,0,809,44,5.44,Americas,1.17,83.7,5.44,0.15
Japan,31142,998,21970,8174,594,0,364,25706,5436,21.15,Western Pacific,3.2,70.55,21.15,0.26
Jordan,1176,11,1041,124,8,0,0,1223,-47,-3.84,Eastern Mediterranean,0.94,88.52,-3.84,0.11
Kazakhstan,84648,585,54404,29659,1526,0,1833,73468,11180,15.22,Europe,0.69,64.27,15.22,0.35
Kenya,17975,285,7833,9857,372,5,90,13771,4204,30.53,Africa,1.59,43.58,30.53,0.55
Kosovo,7413,185,4027,3201,496,16,274,5877,1536,26.14,Europe,2.5,54.32,26.14,0.43
Kuwait,64379,438,55057,8884,606,5,684,59763,4616,7.72,Eastern Mediterranean,0.68,85.52,7.72,0.14
Kyrgyzstan,33296,1301,21205,10790,483,24,817,27143,6153,22.67,Europe,3.91,63.69,22.67,0.32
Laos,20,0,19,1,0,0,0,19,1,5.26,Western Pacific,0.0,95.0,5.26,0.05
Latvia,1219,31,1045,143,0,0,0,1192,27,2.27,Europe,2.54,85.73,2.27,0.12
Lebanon,3882,51,1709,2122,132,0,17,2905,977,33.63,Eastern Mediterranean,1.31,44.02,33.63,0.55
Lesotho,505,12,128,365,0,0,0,359,146,40.67,Africa,2.38,25.35,40.67,0.72
Liberia,1167,72,646,449,5,0,5,1107,60,5.42,Africa,6.17,55.36,5.42,0.38
Libya,2827,64,577,2186,158,4,24,1980,847,42.78,Eastern Mediterranean,2.26,20.41,42.78,0.77
Liechtenstein,86,1,81,4,0,0,0,86,0,0.0,Europe,1.16,94.19,0.0,0.05
Lithuania,2019,80,1620,319,11,0,4,1947,72,3.7,Europe,3.96,80.24,3.7,0.16
Luxembourg,6321,112,4825,1384,49,0,178,5639,682,12.09,Europe,1.77,76.33,12.09,0.22
Madagascar,9690,91,6260,3339,395,6,681,7153,2537,35.47,Africa,0.94,64.6,35.47,0.34
Malawi,3664,99,1645,1920,24,0,6,2992,672,22.46,Africa,2.7,44.9,22.46,0.52
Malaysia,8904,124,8601,179,7,0,1,8800,104,1.18,Western Pacific,1.39,96.6,1.18,0.02
Maldives,3369,15,2547,807,67,0,19,2999,370,12.34,South-East Asia,0.45,75.6,12.34,0.24
Mali,2513,124,1913,476,3,1,2,2475,38,1.54,Africa,4.93,76.12,1.54,0.19
Malta,701,9,665,27,1,0,0,677,24,3.55,Europe,1.28,94.86,3.55,0.04
Mauritania,6208,156,4653,1399,37,0,223,5923,285,4.81,Africa,2.51,74.95,4.81,0.23
Mauritius,344,10,332,2,0,0,0,343,1,0.29,Africa,2.91,96.51,0.29,0.01
Mexico,395489,44022,303810,47657,4973,342,8588,349396,46093,13.19,Americas,11.13,76.82,13.19,0.12
Moldova,23154,748,16154,6252,120,13,245,21115,2039,9.66,Europe,3.23,69.77,9.66,0.27
Monaco,116,4,104,8,0,0,0,109,7,6.42,Europe,3.45,89.66,6.42,0.07
Mongolia,289,0,222,67,1,0,4,287,2,0.7,Western Pacific,0.0,76.82,0.7,0.23
Montenegro,2893,45,809,2039,94,2,70,2188,705,32.22,Europe,1.56,27.96,32.22,0.7
Morocco,20887,316,16553,4018,609,3,115,17562,3325,18.93,Eastern Mediterranean,1.51,79.25,18.93,0.19
